Name,Price,Rating,Details,Image,Link
PUMA Unisex-Child Jada Sneaker,$34.97 - $43.13,4.7,"Sole material
Rubber
Outer material
Faux Leather
Closure type
Lace-Up
Water resistance level
Not Water Resistant",https://m.media-amazon.com/images/I/61tqI8oAlHL._AC_SY395_.jpg,https://www.amazon.com/PUMA-Sneaker-White-Cool-Weather-Rose-Unisex/dp/B0DQ8S853Q/ref=sr_1_39
Under Armour Girl's Pre School Assert 10 Alternate Closure Sneaker,$52.25 - $55.00,4.1,"Origin
Imported
Sole material
Rubber
Outer material
Polyester
Closure type
Hook & Loop",https://m.media-amazon.com/images/I/71QvJPKXUXL._AC_SY395_.jpg,https://www.amazon.com/Under-Armour-School-Alternate-Closure/dp/B0D1JBJGT9/ref=sr_1_40
Skechers Girl's Dynamic Tread-Journey Time Sneaker,$27.32 - $44.22,4.4,"Origin
Imported
Sole material
Ethylene Vinyl Acetate
Outer material
Polyurethane (PU)
Closure type
Hook & Loop",https://m.media-amazon.com/images/I/71LCxU6-+uL._AC_SX395_.jpg,https://www.amazon.com/Skechers-Dynamic-Tread-Journey-Sneaker-Charcoal/dp/B0CNY6P7YJ/ref=sr_1_41
Skechers Girl's Uno Gen1 Sneaker,$38.94 - $62.00,4.7,"Origin
Imported
Sole material
Ethylene Vinyl Acetate
Outer material
Polyurethane (PU)
Closure type
Lace-Up",https://m.media-amazon.com/images/I/618k+i0wx+L._AC_SY395_.jpg,https://www.amazon.com/Skechers-Girls-GEN1-Sneaker-White/dp/B0CNY7GQ6J/ref=sr_1_42
Skechers Girl's Hyperlift Sneaker,$31.99 - $45.26,4.6,"Origin
Imported
Sole material
Polyurethane
Outer material
Canvas
Closure type
Lace-Up",https://m.media-amazon.com/images/I/71iRzqmWZiL._AC_SX395_.jpg,https://www.amazon.com/Skechers-Girls-Hyperlift-Sneaker-Little/dp/B0C4RN7Y96/ref=sr_1_43
Skechers Girl's Aloha Dream Sneaker,$26.03 - $36.03,,"Fabric type
Mesh
Origin
Imported
Sole material
Synthetic Rubber
Outer material
Polyurethane (PU)",https://m.media-amazon.com/images/I/81Ne4nr3RZL._AC_SY395_.jpg,https://www.amazon.com/SKECHERS-Girls-Sneaker-Silver-little/dp/B0D79Y6DQZ/ref=sr_1_44
Kids Shoes for Boys & Girls - Lightweight & Breathable Boys & Girls Sneakers - Kids Athletic Shoes - Comfortable Boys and Girls Tennis Shoes with Rubber Sole,$17.50 - $22.99,4.4,"Sole material
Rubber
Outer material
Rubber
Closure type
Lace-Up
Water resistance level
Water Repellent",https://m.media-amazon.com/images/I/71CiY2uGx+L._AC_SY395_.jpg,https://www.amazon.com/Fashion-Supply-Shoes-Running-us_Footwear_Size_System/dp/B0BTNRX1RZ/ref=sr_1_45
adidas Kids' Goletto IX Turf Soccer Shoe,$29.46 - $35.00,4.6,"Origin
Imported
Sole material
Rubber
Outer material
Rubber
Closure type
Lace-Up",https://m.media-amazon.com/images/I/61UjAggPPbL._AC_SX395_.jpg,https://www.amazon.com/adidas-Goletto-Soccer-Sneaker-Unisex/dp/B0D2JGSDGB/ref=sr_1_46
Skechers Unisex-Child Twinkle Sparks-Sequin Flash Sneaker,$27.38 - $46.95,4.6,"Origin
Imported
Sole material
Polyurethane
Outer material
[IN] Polyurethane (PU)
Closure type
Hook & Loop",https://m.media-amazon.com/images/I/71SdVdkvc3L._AC_SX395_.jpg,https://www.amazon.com/Skechers-Twinkle-Sparks-Sequin-Sneaker-Little/dp/B0BSMQ4S1J/ref=sr_1_47
Crocs Kids' Classic Clog,$34.95 - $39.95,4.2,"Origin
Imported
Sole material
Croslite Foam
Outer material
Ethylene Vinyl Acetate (EVA)
Closure type
Pull-On",https://m.media-amazon.com/images/I/61PeOqTe6cL._AC_SX395_.jpg,https://www.amazon.com/Crocs-Classic-Little-Linen-Unisex/dp/B0CSPS6JJR/ref=sr_1_48
